	SubjectID1	SubjectID2	Group1	Group2	Distance
0	A8	A9	A	A	0.6222421180533351
1	A7	A9	A	A	0.6674394065357805
2	A7	A8	A	A	0.5713691884632602
3	A10	A9	A	A	0.27300633113768624
4	A10	A8	A	A	0.5955266355439023
5	A10	A7	A	A	0.6553367014133146
6	A2	A9	A	A	0.5581153673978385
7	A2	A8	A	A	0.5531591737545565
8	A2	A7	A	A	0.5686193003773102
9	A2	A10	A	A	0.5451813007610156
10	A1	A9	A	A	0.6333216090042847
11	A1	A8	A	A	0.5497058259256891
12	A1	A7	A	A	0.5868932659717337
13	A1	A10	A	A	0.6837788578371811
14	A1	A2	A	A	0.5837756602928951
15	A9	B12	A	B	0.7047547483532647
16	A9	B11	A	B	0.5663490439342584
17	A9	B10	A	B	0.7989703907399117
18	A9	B9	A	B	0.6119939886167424
19	A9	B4	A	B	0.6790784677367782
20	A9	B1	A	B	0.6647374816141204
21	A8	B12	A	B	0.7127166336253757
22	A8	B11	A	B	0.7089914945321992
23	A8	B10	A	B	0.6764085182579779
24	A8	B9	A	B	0.6237929270320394
25	A8	B4	A	B	0.6033606190445737
26	A8	B1	A	B	0.6295804821896783
27	A7	B12	A	B	0.4979056084926776
28	A7	B11	A	B	0.751087165057236
29	A7	B10	A	B	0.5192971797659398
30	A7	B9	A	B	0.5982285604655625
31	A7	B4	A	B	0.5601298202980112
32	A7	B1	A	B	0.4728208735690989
33	A10	B12	A	B	0.7009176952100786
34	A10	B11	A	B	0.558770863976466
35	A10	B10	A	B	0.7869316365031656
36	A10	B9	A	B	0.60438383321609
37	A10	B4	A	B	0.6701253437360107
38	A10	B1	A	B	0.651627550041568
39	A2	B12	A	B	0.6130971413954083
40	A2	B11	A	B	0.6454722772910405
41	A2	B10	A	B	0.6493413058770864
42	A2	B9	A	B	0.5301528426168702
43	A2	B4	A	B	0.612089914945322
44	A2	B1	A	B	0.5502494084543071
45	A1	B12	A	B	0.7083200102321418
46	A1	B11	A	B	0.7386007546204515
47	A1	B10	A	B	0.6705889876574791
48	A1	B9	A	B	0.6762486410436784
49	A1	B4	A	B	0.6624192620067788
50	A1	B1	A	B	0.6631227217496962
51	A9	G9	A	G	0.640372194154889
52	A9	G7	A	G	0.627454115239496
53	A9	G6	A	G	0.8075877725906504
54	A9	G5	A	G	0.7693291552087996
55	A9	G3	A	G	0.7752126366950183
56	A9	G2	A	G	0.7273294110123425
57	A8	G9	A	G	0.6922363624736203
58	A8	G7	A	G	0.7270096565837437
59	A8	G6	A	G	0.8994212444842361
60	A8	G5	A	G	0.7987625503613225
61	A8	G3	A	G	0.8348948007929909
62	A8	G2	A	G	0.7571784869220439
63	A7	G9	A	G	0.6997665792671228
64	A7	G7	A	G	0.7130843512182644
65	A7	G6	A	G	0.8921628189550426
66	A7	G5	A	G	0.8424410053079235
67	A7	G3	A	G	0.8580929845878366
68	A7	G2	A	G	0.8058770863976467
69	A10	G9	A	G	0.668702436528746
70	A10	G7	A	G	0.6628029673210974
71	A10	G6	A	G	0.8894928694762423
72	A10	G5	A	G	0.7618309138581569
73	A10	G3	A	G	0.7681780392658438
74	A10	G2	A	G	0.7005020144529002
75	A2	G9	A	G	0.6562160260919614
76	A2	G7	A	G	0.6438095542623266
77	A2	G6	A	G	0.8943371490695146
78	A2	G5	A	G	0.767298714587197
79	A2	G3	A	G	0.8096661763765428
80	A2	G2	A	G	0.7234124192620068
81	A1	G9	A	G	0.6790464922939182
82	A1	G7	A	G	0.6071017458591802
83	A1	G6	A	G	0.8023118245187696
84	A1	G5	A	G	0.8658310417599284
85	A1	G3	A	G	0.895855982605359
86	A1	G2	A	G	0.8390516083647759
0	B11	B12	B	B	0.6787747010296092
1	B10	B12	B	B	0.4519568971030249
2	B10	B11	B	B	0.7756762806164865
3	B9	B12	B	B	0.528554070473876
4	B9	B11	B	B	0.6325541983756475
5	B9	B10	B	B	0.618660868453028
6	B4	B12	B	B	0.45304406216026094
7	B4	B11	B	B	0.6862409669373921
8	B4	B10	B	B	0.4928854639636759
9	B4	B9	B	B	0.5344695274029545
10	B1	B12	B	B	0.37009976338172285
11	B1	B11	B	B	0.6690381786787747
12	B1	B10	B	B	0.42170812815757497
13	B1	B9	B	B	0.49558738888533604
14	B1	B4	B	B	0.38610347253309457
15	B12	A9	B	A	0.7047547483532647
16	B12	A8	B	A	0.7127166336253757
17	B12	A7	B	A	0.4979056084926776
18	B12	A10	B	A	0.7009176952100786
19	B12	A2	B	A	0.6130971413954083
20	B12	A1	B	A	0.7083200102321418
21	B11	A9	B	A	0.5663490439342584
22	B11	A8	B	A	0.7089914945321992
23	B11	A7	B	A	0.751087165057236
24	B11	A10	B	A	0.558770863976466
25	B11	A2	B	A	0.6454722772910405
26	B11	A1	B	A	0.7386007546204515
27	B10	A9	B	A	0.7989703907399117
28	B10	A8	B	A	0.6764085182579779
29	B10	A7	B	A	0.5192971797659398
30	B10	A10	B	A	0.7869316365031656
31	B10	A2	B	A	0.6493413058770864
32	B10	A1	B	A	0.6705889876574791
33	B9	A9	B	A	0.6119939886167424
34	B9	A8	B	A	0.6237929270320394
35	B9	A7	B	A	0.5982285604655625
36	B9	A10	B	A	0.60438383321609
37	B9	A2	B	A	0.5301528426168702
38	B9	A1	B	A	0.6762486410436784
39	B4	A9	B	A	0.6790784677367782
40	B4	A8	B	A	0.6033606190445737
41	B4	A7	B	A	0.5601298202980112
42	B4	A10	B	A	0.6701253437360107
43	B4	A2	B	A	0.612089914945322
44	B4	A1	B	A	0.6624192620067788
45	B1	A9	B	A	0.6647374816141204
46	B1	A8	B	A	0.6295804821896783
47	B1	A7	B	A	0.4728208735690989
48	B1	A10	B	A	0.651627550041568
49	B1	A2	B	A	0.5502494084543071
50	B1	A1	B	A	0.6631227217496962
51	B12	G9	B	G	0.7393361898062288
52	B12	G7	B	G	0.7378653194346741
53	B12	G6	B	G	0.8856078531687663
54	B12	G5	B	G	0.8368932659717337
55	B12	G3	B	G	0.8539681524589116
56	B12	G2	B	G	0.796971925561169
57	B11	G9	B	G	0.6702372577860204
58	B11	G7	B	G	0.6994788002813839
59	B11	G6	B	G	0.7706241606446249
60	B11	G5	B	G	0.7172411587900492
61	B11	G3	B	G	0.7352753085630236
62	B11	G2	B	G	0.6932116134808467
63	B10	G9	B	G	0.7196712924474004
64	B10	G7	B	G	0.7485291296284453
65	B10	G6	B	G	0.9154729167998977
66	B10	G5	B	G	0.8995331585342456
67	B10	G3	B	G	0.9136343288354544
68	B10	G2	B	G	0.8367014133145744
69	B9	G9	B	G	0.7216537699047132
70	B9	G7	B	G	0.6996226897742533
71	B9	G6	B	G	0.9027147150988041
72	B9	G5	B	G	0.8013365735115431
73	B9	G3	B	G	0.8382522222932788
74	B9	G2	B	G	0.7724467608876383
75	B4	G9	B	G	0.6721557843576134
76	B4	G7	B	G	0.7033798043102897
77	B4	G6	B	G	0.8821225298970391
78	B4	G5	B	G	0.8342872673786532
