	SubjectID1	SubjectID2	Group1	Group2	Distance
0	A8	A9	A	A	0.4784623054358471
1	A7	A9	A	A	0.4868523537183729
2	A7	A8	A	A	0.4436904758878478
3	A10	A9	A	A	0.3828875127050856
4	A10	A8	A	A	0.49604515142663813
5	A10	A7	A	A	0.5020767279193401
6	A2	A9	A	A	0.473133283221189
7	A2	A8	A	A	0.45948227121839247
8	A2	A7	A	A	0.45494499937977684
9	A2	A10	A	A	0.4785475152693823
10	A1	A9	A	A	0.5026056697513842
11	A1	A8	A	A	0.4705805349631392
12	A1	A7	A	A	0.46235780812862526
13	A1	A10	A	A	0.547051112388652
14	A1	A2	A	A	0.46089643451924905
15	A9	B12	A	B	0.48836825961346964
16	A9	B11	A	B	0.4744920499372499
17	A9	B10	A	B	0.5432989271128557
18	A9	B9	A	B	0.4669233091355774
19	A9	B4	A	B	0.4708977702587688
20	A9	B1	A	B	0.4989085725515439
21	A8	B12	A	B	0.48746541795620363
22	A8	B11	A	B	0.5111051493545953
23	A8	B10	A	B	0.5044251693587795
24	A8	B9	A	B	0.46391833060187365
25	A8	B4	A	B	0.46562365084072155
26	A8	B1	A	B	0.4860993338148589
27	A7	B12	A	B	0.4212679388017648
28	A7	B11	A	B	0.5096658140287015
29	A7	B10	A	B	0.4775182534617716
30	A7	B9	A	B	0.4659281104937614
31	A7	B4	A	B	0.43857471543035903
32	A7	B1	A	B	0.4438952725613325
33	A10	B12	A	B	0.5211470344156922
34	A10	B11	A	B	0.479042513617579
35	A10	B10	A	B	0.5698654467554302
36	A10	B9	A	B	0.489939327265099
37	A10	B4	A	B	0.48653407105736457
38	A10	B1	A	B	0.5094611561070588
39	A2	B12	A	B	0.49593551831464405
40	A2	B11	A	B	0.5255739851495842
41	A2	B10	A	B	0.47334391657703023
42	A2	B9	A	B	0.46740779501988927
43	A2	B4	A	B	0.4758475908606689
44	A2	B1	A	B	0.4552177250399112
45	A1	B12	A	B	0.49365515863360976
46	A1	B11	A	B	0.5221518426948618
47	A1	B10	A	B	0.46905094755711474
48	A1	B9	A	B	0.4977420293890207
49	A1	B4	A	B	0.4846136864151557
50	A1	B1	A	B	0.4972222627485114
51	A9	G9	A	G	0.5429225582968629
52	A9	G7	A	G	0.5164536962538896
53	A9	G6	A	G	0.6034187020227106
54	A9	G5	A	G	0.5679043074880009
55	A9	G3	A	G	0.5562623639105725
56	A9	G2	A	G	0.5404631038021203
57	A8	G9	A	G	0.5508522841757489
58	A8	G7	A	G	0.5284064460356607
59	A8	G6	A	G	0.6050257890736657
60	A8	G5	A	G	0.586073886458625
61	A8	G3	A	G	0.5895379840606629
62	A8	G2	A	G	0.5107316548550463
63	A7	G9	A	G	0.5508598069997669
64	A7	G7	A	G	0.5350584279042288
65	A7	G6	A	G	0.6259009056180024
66	A7	G5	A	G	0.6081509109417736
67	A7	G3	A	G	0.6192132589530053
68	A7	G2	A	G	0.5570602905214423
69	A10	G9	A	G	0.5725237230203138
70	A10	G7	A	G	0.5528564975866567
71	A10	G6	A	G	0.6498572039638364
72	A10	G5	A	G	0.6009236861472805
73	A10	G3	A	G	0.6009135379126055
74	A10	G2	A	G	0.5536021288653752
75	A2	G9	A	G	0.5118093248889634
76	A2	G7	A	G	0.5164053876523341
77	A2	G6	A	G	0.6356042914163347
78	A2	G5	A	G	0.5622622403869416
79	A2	G3	A	G	0.6029785419365588
80	A2	G2	A	G	0.5599531323213757
81	A1	G9	A	G	0.5253801500576102
82	A1	G7	A	G	0.4858109720989261
83	A1	G6	A	G	0.5420115090590771
84	A1	G5	A	G	0.5659344489693359
85	A1	G3	A	G	0.5631452820461617
86	A1	G2	A	G	0.5633372539237457
0	B11	B12	B	B	0.4840013586732242
1	B10	B12	B	B	0.45490867158473497
2	B10	B11	B	B	0.5237773567455999
3	B9	B12	B	B	0.4513842861205679
4	B9	B11	B	B	0.46183108964303543
5	B9	B10	B	B	0.48586272068055303
6	B4	B12	B	B	0.44853742758703324
7	B4	B11	B	B	0.4951915893037271
8	B4	B10	B	B	0.4625557892100025
9	B4	B9	B	B	0.46359833464652855
10	B1	B12	B	B	0.4609408202031824
11	B1	B11	B	B	0.5027975121261655
12	B1	B10	B	B	0.44802464729085906
13	B1	B9	B	B	0.4628651278074497
14	B1	B4	B	B	0.43639010408436674
15	B12	A9	B	A	0.48836825961346964
16	B12	A8	B	A	0.48746541795620363
17	B12	A7	B	A	0.4212679388017648
18	B12	A10	B	A	0.5211470344156922
19	B12	A2	B	A	0.49593551831464405
20	B12	A1	B	A	0.49365515863360976
21	B11	A9	B	A	0.4744920499372499
22	B11	A8	B	A	0.5111051493545953
23	B11	A7	B	A	0.5096658140287015
24	B11	A10	B	A	0.479042513617579
25	B11	A2	B	A	0.5255739851495842
26	B11	A1	B	A	0.5221518426948618
27	B10	A9	B	A	0.5432989271128557
28	B10	A8	B	A	0.5044251693587795
29	B10	A7	B	A	0.4775182534617716
30	B10	A10	B	A	0.5698654467554302
31	B10	A2	B	A	0.47334391657703023
32	B10	A1	B	A	0.46905094755711474
33	B9	A9	B	A	0.4669233091355774
34	B9	A8	B	A	0.46391833060187365
35	B9	A7	B	A	0.4659281104937614
36	B9	A10	B	A	0.489939327265099
37	B9	A2	B	A	0.46740779501988927
38	B9	A1	B	A	0.4977420293890207
39	B4	A9	B	A	0.4708977702587688
40	B4	A8	B	A	0.46562365084072155
41	B4	A7	B	A	0.43857471543035903
42	B4	A10	B	A	0.48653407105736457
43	B4	A2	B	A	0.4758475908606689
44	B4	A1	B	A	0.4846136864151557
45	B1	A9	B	A	0.4989085725515439
46	B1	A8	B	A	0.4860993338148589
47	B1	A7	B	A	0.4438952725613325
48	B1	A10	B	A	0.5094611561070588
49	B1	A2	B	A	0.4552177250399112
50	B1	A1	B	A	0.4972222627485114
51	B12	G9	B	G	0.5513722486542828
52	B12	G7	B	G	0.5413236324697599
53	B12	G6	B	G	0.5986233501721613
54	B12	G5	B	G	0.5804734797394532
55	B12	G3	B	G	0.5950903500843657
56	B12	G2	B	G	0.5149990165976017
57	B11	G9	B	G	0.5414663001094215
58	B11	G7	B	G	0.5364665683611644
59	B11	G6	B	G	0.5734469626232858
60	B11	G5	B	G	0.5735393761004985
61	B11	G3	B	G	0.5788160969941633
62	B11	G2	B	G	0.5236179204846731
63	B10	G9	B	G	0.5305706087561778
64	B10	G7	B	G	0.5439201177008846
65	B10	G6	B	G	0.5946083391029309
66	B10	G5	B	G	0.5833087508082556
67	B10	G3	B	G	0.6101404943850327
68	B10	G2	B	G	0.5501106518495966
69	B9	G9	B	G	0.5413343259524158
70	B9	G7	B	G	0.4972168372728761
71	B9	G6	B	G	0.6075235096454431
72	B9	G5	B	G	0.601287275741619
73	B9	G3	B	G	0.5900113380264835
74	B9	G2	B	G	0.5427053472472565
75	B4	G9	B	G	0.5332458092697967
76	B4	G7	B	G	0.5316895663741212
77	B4	G6	B	G	0.5870532925469096
78	B4	G5	B	G	0.5839038599686677
79	B4	G3	B	G	0.5939598023926864
80	B4	G2	B	G	0.541963492130535
81	B1	G9	B	G	0.5442510791971735
82	B1	G7	B	G	0.5433265136464869
83	B1	G6	B	G	0.6168090186330151
84	B1	G5	B	G	0.5706131775992694
85	B1	G3	B	G	0.6205134148102912
86	B1	G2	B	G	0.5586866118159658
0	G7	G9	G	G	0.39223530083648817
1	G6	G9	G	G	0.542345187235024
2	G6	G7	G	G	0.5298797804850606
3	G5	G9	G	G	0.4667415635672142
4	G5	G7	G	G	0.472707787326976
5	G5	G6	G	G	0.5291059481668786
6	G3	G9	G	G	0.4795159891580603
7	G3	G7	G	G	0.47627286357889376
8	G3	G6	G	G	0.492949204496818
9	G3	G5	G	G	0.44651420214662146
10	G2	G9	G	G	0.47335148006296746
11	G2	G7	G	G	0.47527930205246044
12	G2	G6	G	G	0.546199747907083
13	G2	G5	G	G	0.507581653595032
14	G2	G3	G	G	0.5036255068687655
15	G9	A9	G	A	0.5429225582968629
16	G9	A8	G	A	0.5508522841757489
17	G9	A7	G	A	0.5508598069997669
18	G9	A10	G	A	0.5725237230203138
19	G9	A2	G	A	0.5118093248889634
20	G9	A1	G	A	0.5253801500576102
21	G7	A9	G	A	0.5164536962538896
22	G7	A8	G	A	0.5284064460356607
23	G7	A7	G	A	0.5350584279042288
24	G7	A10	G	A	0.5528564975866567
25	G7	A2	G	A	0.5164053876523341
26	G7	A1	G	A	0.4858109720989261
27	G6	A9	G	A	0.6034187020227106
28	G6	A8	G	A	0.6050257890736657
29	G6	A7	G	A	0.6259009056180024
30	G6	A10	G	A	0.6498572039638364
31	G6	A2	G	A	0.6356042914163347
32	G6	A1	G	A	0.5420115090590771
33	G5	A9	G	A	0.5679043074880009
34	G5	A8	G	A	0.586073886458625
35	G5	A7	G	A	0.6081509109417736
36	G5	A10	G	A	0.6009236861472805
37	G5	A2	G	A	0.5622622403869416
38	G5	A1	G	A	0.5659344489693359
39	G3	A9	G	A	0.5562623639105725
40	G3	A8	G	A	0.5895379840606629
41	G3	A7	G	A	0.6192132589530053
42	G3	A10	G	A	0.6009135379126055
43	G3	A2	G	A	0.6029785419365588
44	G3	A1	G	A	0.5631452820461617
45	G2	A9	G	A	0.5404631038021203
46	G2	A8	G	A	0.5107316548550463
47	G2	A7	G	A	0.5570602905214423
48	G2	A10	G	A	0.5536021288653752
49	G2	A2	G	A	0.5599531323213757
50	G2	A1	G	A	0.5633372539237457
51	G9	B12	G	B	0.5513722486542828
52	G9	B11	G	B	0.5414663001094215
53	G9	B10	G	B	0.5305706087561778
54	G9	B9	G	B	0.5413343259524158
55	G9	B4	G	B	0.5332458092697967
56	G9	B1	G	B	0.5442510791971735
57	G7	B12	G	B	0.5413236324697599
58	G7	B11	G	B	0.5364665683611644
59	G7	B10	G	B	0.5439201177008846
60	G7	B9	G	B	0.4972168372728761
61	G7	B4	G	B	0.5316895663741212
62	G7	B1	G	B	0.5433265136464869
63	G6	B12	G	B	0.5986233501721613
64	G6	B11	G	B	0.5734469626232858
65	G6	B10	G	B	0.5946083391029309
66	G6	B9	G	B	0.6075235096454431
67	G6	B4	G	B	0.5870532925469096
68	G6	B1	G	B	0.6168090186330151
69	G5	B12	G	B	0.5804734797394532
70	G5	B11	G	B	0.5735393761004985
71	G5	B10	G	B	0.5833087508082556
72	G5	B9	G	B	0.601287275741619
73	G5	B4	G	B	0.5839038599686677
74	G5	B1	G	B	0.5706131775992694
75	G3	B12	G	B	0.5950903500843657
76	G3	B11	G	B	0.5788160969941633
77	G3	B10	G	B	0.6101404943850327
78	G3	B9	G	B	0.5900113380264835
79	G3	B4	G	B	0.5939598023926864
80	G3	B1	G	B	0.6205134148102912
81	G2	B12	G	B	0.5149990165976017
82	G2	B11	G	B	0.5236179204846731
83	G2	B10	G	B	0.5501106518495966
84	G2	B9	G	B	0.5427053472472565
85	G2	B4	G	B	0.541963492130535
86	G2	B1	G	B	0.5586866118159658
