	SubjectID1	SubjectID2	Group1	Group2	Distance
0	A8	A9	A	A	0.36785851781966333
1	A7	A9	A	A	0.4104879252614604
2	A7	A8	A	A	0.28546064531913506
3	A10	A9	A	A	0.16624709345274652
4	A10	A8	A	A	0.39533306471668217
5	A10	A7	A	A	0.42565144803988
6	A2	A9	A	A	0.2450718604099829
7	A2	A8	A	A	0.26507930283642156
8	A2	A7	A	A	0.2492144816212654
9	A2	A10	A	A	0.2503852661510016
10	A1	A9	A	A	0.30490730686833856
11	A1	A8	A	A	0.25958810140998906
12	A1	A7	A	A	0.23140782214156475
13	A1	A10	A	A	0.4163365280334566
14	A1	A2	A	A	0.28714524811245873
15	A9	B12	A	B	0.4225401479536793
16	A9	B11	A	B	0.234912994933663
17	A9	B10	A	B	0.5224181163465682
18	A9	B9	A	B	0.31770302523401
19	A9	B4	A	B	0.43578817356568095
20	A9	B1	A	B	0.38829486909537514
21	A8	B12	A	B	0.30351399167569376
22	A8	B11	A	B	0.3968127473305246
23	A8	B10	A	B	0.33270524065910645
24	A8	B9	A	B	0.26558547267083205
25	A8	B4	A	B	0.2556804637483849
26	A8	B1	A	B	0.2488549741006028
27	A7	B12	A	B	0.10525449480412838
28	A7	B11	A	B	0.3956035015720167
29	A7	B10	A	B	0.16468868412676313
30	A7	B9	A	B	0.2232489250246209
31	A7	B4	A	B	0.15400402445751474
32	A7	B1	A	B	0.12360533894196027
33	A10	B12	A	B	0.44804912471197156
34	A10	B11	A	B	0.18055208446546175
35	A10	B10	A	B	0.5375844136719377
36	A10	B9	A	B	0.3277930697687723
37	A10	B4	A	B	0.4667308572074564
38	A10	B1	A	B	0.40533763016812646
39	A2	B12	A	B	0.28194920284480146
40	A2	B11	A	B	0.26829006405076755
41	A2	B10	A	B	0.35696517991064625
42	A2	B9	A	B	0.15407060805872166
43	A2	B4	A	B	0.29945384607617626
44	A2	B1	A	B	0.2312296242641383
45	A1	B12	A	B	0.26247364585783034
46	A1	B11	A	B	0.3981962880634696
